Ahora la muerte es la tuya;Pedro Flores;Solo tú, abuela, podías hacer de la muerte una cuestión de ornitología;Como pasa el aire sobre el lomo de una bestia (2014)
Un hermoso poema que no envejece;Pedro Flores;El retrato de Doriano Gris;Los gorriones contrarrevolucionarios
Lo único vivo es el silencio;Chona Madera;Mas si una brisade esperanza corre;
Y el corazón a sus mil cosas;Chona Madera;Hasta que tú no eres poco somos;
Alumbradas desde lo más profundo;Chona Madera;Hasta que tú no eres poco somos;
Y este tejer de ensueños;Chona Madera;El motivo distante;
Que se crea a sí misma de la nada;Pino Ojeda;Dulce paso a la luz desde la sombra;
El aire que te roza y te acaricia;Pino Ojeda;¡Como quisiera ser tus pequeñas cosas!;
El agua que desciende y te penetra;Pino Ojeda;¡Como quisiera ser tus pequeñas cosas!;
Dejándome sabor de besos rotos;Pino Ojeda;In Memoriam;
Mi sien es vibración de tus hogueras;Pedro García Cabrera;Granitos de arena;
Como el crater dormido de un espejo;Pedro García Cabrera;A la mar fui a por la libertad;
Y nos creció la sombra;Pedro García Cabrera;Como un Árbol;
En esa casa en la que ahora habito;Pedro García Cabrera;Casa de alquiler;
Y te echas a domir sobre mi angustia;Pedro García Cabrera;Como en los durosa muros de un alfanje;
Escultura a la idea y al acaso;Pedro Lezcano;El dado;
Hoguera sin mudanza;Pedro Lezcano;Plagios en desagravio de la rosa;
"He pedido perdón, he perdonado;";Pedro Lezcano;He vuelto al mar;
Es estrella a la carne encadenada;Pedro Lezcano;Manos;
De un instrumento musical sin notas;Agustín Millares Sal;En nombre de otra cosa;Segunda enseñanza (1974)
Después le toca al viento barrer el agua sucia;Agustín Millares Sal;Medidas de higfiene;Función al aire libre (1975)
Armado con la voz de la protesta;Agustín Millares Sal;Andanzas y desvenuras de una palabra;Segunda enseñanza (1974)
También en el agua hay nubes;Agustín Millares Sal;Naufragia a la vuelta de la esquina;El paraiso de los nudos (1979)
Canto de amor y de amistad logrado;Juan Ismael;Chalert de O'Gorman;
Tesoro oculto de monedas viejas;Juan Ismael;Chalert de O'Gorman;
Fruto de ayuntamiento peregrino;Juan Ismael;La bicicleta;
La tierra siempre, el mar, la vida una;Arturo Maccanti;A otra luz que no acaba;
Antes de que regrese a ser escombro;Arturo Maccanti;Amor o nada;
Está cansado el aire de vivir;Arturo Maccanti;Días de guerra sobre Martí;
Ya mutilado de futuro;Arturo Maccanti;A otra luz que no acaba;
De sueños dormidos en otros días;Ana María Fagundo;Desde Chanatel, el canto;
Que se palpa en carne viva;Ana María Fagundo;Parto o poema;Brotes
El lento parirse inacabado;Ana María Fagundo;Parto o poema;Brotes
Y sentir tu turgente cuerpo de palabras;Ana María Fagundo;Proximidad de la poesía;Invención de la luz
Entre maleza de lenguajes;Eugenio Padorno;Pisapapeles en la arena;
Pues desconocíamos la pregunta;Eugenio Padorno;Conversación interumpida;
Se deshacen en las gradas del viento;Eugenio Padorno;Viento de marzo;
Cadáveres de invierno;Eugenio Padorno;La pausa inerminable del cantor;
Rojo cuerpo de sol abierto;Carlos Eduardo Pinto;Cuerpo de sol;
Irrazonable canto de las noches;Carlos Eduardo Pinto;Cuerpo de sol;
Surtidor de palabras;Carlos Eduardo Pinto;Árbol;
El color de la tarde los silencios;Carlos Eduardo Pinto;Trade verde;
En la ladera arden los signos;Andrés Sánchez Robayna;Lectura insular II;
Invocan solo un movimiento;Andrés Sánchez Robayna;Lectura insular IV;
Medianoche de las invocaciones;Andrés Sánchez Robayna;Lectura insular IV;
Las hojas que gotean sobre el pensamiento;Andrés Sánchez Robayna;Lectura insular I;
Iluminada, el vacío es su huella;Felix Casanova de Ayala;El hueco de la mano;
Clavada en las manzanas de cemento;Felix Casanova de Ayala;Epístola a Garry Davis;
En sillones de terciopelo;Felix Casanova de Ayala;Curva de tritones;
Es un día cualquiera;Felix Casanova de Ayala;Carta a Garry Davis;
Con los más leves ruidos;Félix Francisco Casanova;Eres un buen momento para morir;
Amaneciendo y anocheciendo;Félix Francisco Casanova;Eres un buen momento para morir;
Hoy, día de la carne abierta;Félix Francisco Casanova;De más allá del mar…;
Esperando volver a ser reconocido;Daniela Martín Hidalgo;Retrato;Memorial para una casa
Que inauguran mi locura;Daniela Martín Hidalgo;Alucinación;Memorial para una casa
Dejo suceder en la noche;Daniela Martín Hidalgo;Alucinación;Memorial para una casa
Nido de cansado otoño;Obdulia Medina Cabrera;Impaciencia;
Negando la sonrisa a los de cerca;Obdulia Medina Cabrera;Camino errante;
Suave como la hierba;Obdulia Medina Cabrera;Visión del poeta;
Del eterno ideal;Dolores Millares Cubas;Aspiración ;
Pero hemos perdido las ganas de amar;Dulce María Díaz Marrero;Te lo puedo…;
Saber poseerlo todo sin tener nada;Dulce María Díaz Marrero;Te lo puedo…;
Que se ofrece a mi tentación;Dulce María Díaz Marrero;Odio los altares…;
Pueda surcar el eter misterioso;Isaura de las casas Martín;Una flor;
Ese mundo, que vive en el delirio;Isaura de las casas Martín;Una flor;
Para darte lo blanco de todos los misterios;Isaura de las casas Martín;Una flor;
Inventaré un verano para ahuyentar el frío;Digna Palou Cruz;;Rumor de límites
Sin odios y sin armas;Digna Palou Cruz;;Isótopo 
Es ante todo querer crear un mundo;Digna Palou Cruz;;Nudos
Hecha a semejanza nuestra;Digna Palou Cruz;;Nudos
Estas horas que saben a ambrosía;Bohemia Pulido Slazar;Evocación;
Por el vago horizonte se desnuda tu piel;Olga Rivero Jordán;Claridad;Solo de siluetas
Estatua esculpida en mi cuerpo helado;Olga Rivero Jordán;Claridad;Solo de siluetas
Que paliceden ante el neon de la muerte;Olga Rivero Jordán;Luces;
Cortinas como espadas;Olga Rivero Jordán;Gusanos;
Con mis ojos de tanto ver muriendo;Rafael Arozarena;Zapato abandonado en Berlín;El ómnibus pintado con cerezas (1971)
Cementerio del sol enamorado;Rafael Arozarena;Amaneciendo en el interior del fruto;Amor de la mora siete (1987)
Tantas luces me das que me amaneces;Rafael Arozarena;Amaneciendo en el interior del fruto;Amor de la mora siete (1987)
Remolcando con algas y tritones;Rafael Arozarena;Ansia de mar;
Del que quiso morir y nunca pudo;Luis Feria;Relevo;Conciencia
Distinta realidad es la del sueño;Luis Feria;Los dones;Fábulas de octubre
Igual que la mañana;Luis Feria;Otoño;Conciencia
Amar la vida lentamente es odo;Luis Feria;A la lenta caída de la tarde;
Tierra de la memoria;José Carlos Cataño;Elegía marina;Disparos en el paraíso (1982)
Un grito hubiera roto la distancia;José Carlos Cataño;Elegía marina;Disparos en el paraíso (1982)
Montón de labios, presencia de cosas;José Carlos Cataño;En noviembre; Libro inédito
Nace la vida verdadera;José Carlos Cataño; Fuera de juventud;Disparos en el paraíso (1982)
Saboreando la humedad perdida;Josefina de La torre;Si yo pudiera;
He apretado la frente de sueños;Josefina de La torre;Serenidad;
Y he sentido el terror de los años que pasan;Josefina de La torre;Serenidad;
Jubiloso del pasto de la carne;José María Millares;Sangro en la luz;
Los párpados cerrados de la noche;José María Millares;Sangro en la luz;
Palabras y palabras;José María Millares;El humo del libro;
Tu casa, letra a letra construida;José María Millares;El humo del libro;
No ver mi rostro;Manuel González Sosa;Narciso;
Alfombra sobre el despeñadero;Manuel González Sosa;Narciso;
Por corales palabras que se apagan;Manuel González Sosa;Picón en el jardín;
Y que a la caída de la tarde;Marisol Herrera Sabater;Cuando me vaya;Aglae
Cuando me vaya;Marisol Herrera Sabater;Cuando me vaya;Aglae
Y burlar a la mismísima materia;Marisol Herrera Sabater;Por siempre, Lorenzo;La hora de las parcas
Tanta sensibilidsd postergada;Marisol Herrera Sabater;Déjala, libre;La hora de las parcas
Esperando volver a ser reconocido;Daniela Martín Hidalgo;Retrato;Memorial para una casa
Que inauguran mi locura;Daniela Martín Hidalgo;Alucinación;Memorial para una casa
De esta casa sola que ya no existe;Daniela Martín Hidalgo;Alucinación;Memorial para una casa
En cada esquina de mis noches;Pilar Lojendio;Hay un muerto;Almas de piedra
Que acobarda mis sueños;Pilar Lojendio;Hay un muerto;Almas de piedra
Desde nuestra propia muerte incógnita;Pilar Lojendio;Primer poema de amor;Poemas de amor
Pobres sueños llenos de polvo;Pilar Lojendio;X;
Quemante sol oscuro;Ventura Doreste;La realidad;
Isla muda, fronteras invencibles;Ventura Doreste;La realidad;
Demiurgo cotidiano;Ventura Doreste;Antonio Padrón;
No os olvidéis de la palabra fúlgida;Ventura Doreste;Sepharad;
Que son el horizonte;Baltasar Espinosa;La soledad del campo;
Por un momento duerme la tristeza;Baltasar Espinosa;La soledad del campo;
Donde dobla triste oficio;Baltasar Espinosa;Ciego espejo;
Amanecido como antorcha;Baltasar Espinosa;Amanecido como antorcha;
De sueños dormidos en otros días;Ana María Fagundo;Desde Chanatel, el canto;
Isla, lava, retama, mar;Ana María Fagundo;Largo trayecto de primavera y mundos;
La sequía del tiempo;Ana María Fagundo;Largo trayecto de primavera y mundos;
Consumado es dentro de tu sangre;Ana María Fagundo;Largo trayecto de primavera y mundos;
La tentación de lo insignificante;Antonio García Ysabal;Vigilia;
Isla sola, cautiva del mar inacabable;Antonio García Ysabal;Orilla inmóvil;
Que solo de la vida se regresa;Antonio García Ysabal;Vigilia;
Atestiguando nuestra permanencia;Antonio García Ysabal;Vigilia;
Dulces murmullos, gritos apagados;Manuel Padorno;Let's have a party…!;
El tiempo las incendia: son ceniza;Manuel Padorno;Let's have a party…!;
En aquel tiempo, por aquellos árboles;Manuel Padorno;Bajo el silencio;
El oleaje que también me arrastra;Manuel Padorno;El mar cae en la oruilla;
Del triunfo en otro cuerpo;Lázaro Santana;La máscara;
Quietud de mármol, el aire;Lázaro Santana;Destinos;
Máscara de un poema;Lázaro Santana;La máscara;
Yo no soy sino uno que se inclina;Lázaro Santana;El amanuense;
Como impactantes truenos olvidados;Justo Jorge Padrón;Ala de prestidigitador;
Sus palabras son piedras;Justo Jorge Padrón;Ala de prestidigitador;
En el olvido inmóvil que deseo;Justo Jorge Padrón;Palabras para una despedida;
